source_frame_index,track_id,team,team_confidence,broadcast_foot_x,broadcast_foot_y,canonical_rink_x,canonical_rink_y,registration_status,registration_confidence,reference_frame_index
3,1,devils,0.7552451863767242,341.5,500.0,246.66557622676717,595.9960433395856,ok,0.9066222285295742,0
3,5,devils,0.6294471823956937,1213.5,613.0,569.2329075934736,655.3064262582178,ok,0.9066222285295742,0
3,6,flyers,0.5741112598958709,578.5,549.0,338.4108749184182,635.9187039811527,ok,0.9066222285295742,0
3,11,devils,0.606768345784126,539.5,505.0,312.8767048292151,581.9074438548998,ok,0.9066222285295742,0
4,8,devils,0.7742275312180212,482.0,438.0,272.79640980330805,497.44782487488993,ok,0.895359986330098,0
4,3,flyers,0.5193614701371182,750.0,428.0,360.06535471598653,453.087377145272,ok,0.895359986330098,0
4,6,flyers,0.5741112598958709,591.5,526.0,335.0808981981613,603.8733044650601,ok,0.895359986330098,0
4,5,devils,0.6294471823956937,1247.5,612.0,579.2188979315233,649.3542494331988,ok,0.895359986330098,0
4,2,flyers,0.663798880742309,399.0,653.0,309.0037541443897,784.6597014129986,ok,0.895359986330098,0
4,18,flyers,0.5419821518248122,1197.5,594.0,557.6807146010298,630.6178038379659,ok,0.895359986330098,0
4,1,devils,0.7552451863767242,322.5,513.0,243.58181835239458,614.7646980952486,ok,0.895359986330098,0
4,19,devils,0.8383566973146447,358.0,448.0,235.0427620162742,524.7500266839265,ok,0.895359986330098,0
5,8,devils,0.7742275312180212,485.0,435.0,272.0855749366321,492.58998633184996,ok,0.8842376459501099,0
5,2,flyers,0.663798880742309,410.5,646.0,309.91282692932356,774.3597230070019,ok,0.8842376459501099,0
5,3,flyers,0.5193614701371182,746.0,427.0,357.4745491606103,451.6102034617285,ok,0.8842376459501099,0
5,6,flyers,0.5741112598958709,592.5,528.0,335.14124280837586,605.7774743845541,ok,0.8842376459501099,0
5,5,devils,0.6294471823956937,1257.0,624.0,584.1446788751585,663.0916671894284,ok,0.8842376459501099,0
5,18,flyers,0.5419821518248122,1204.5,594.0,558.9759047190589,628.7810753255965,ok,0.8842376459501099,0
5,1,devils,0.7552451863767242,326.0,515.0,244.59053264903721,616.5595437595297,ok,0.8842376459501099,0
5,19,devils,0.8383566973146447,360.0,448.0,234.96724053961793,524.1591233288804,ok,0.8842376459501099,0
6,3,flyers,0.5193614701371182,736.5,427.0,353.43303962945504,452.20346720339296,ok,0.8701296745029845,0
6,2,flyers,0.663798880742309,434.5,590.0,300.97121224863395,701.0456524996163,ok,0.8701296745029845,0
6,18,flyers,0.5419821518248122,1216.0,602.0,563.8505250312506,637.2530691775344,ok,0.8701296745029845,0
6,6,flyers,0.5741112598958709,579.0,550.0,336.25635215441247,635.1810550288304,ok,0.8701296745029845,0
6,8,devils,0.7742275312180212,491.0,435.0,273.45996810704713,491.4022614813966,ok,0.8701296745029845,0
6,1,devils,0.7552451863767242,332.0,513.0,245.39003547048293,612.5708282466095,ok,0.8701296745029845,0
6,11,devils,0.606768345784126,538.5,511.0,311.7769060387203,588.2688212080502,ok,0.8701296745029845,0
6,19,devils,0.8383566973146447,368.0,451.0,237.99812124755218,526.7608942339099,ok,0.8701296745029845,0
6,5,devils,0.6294471823956937,1271.0,632.0,589.829012025761,671.1749201440756,ok,0.8701296745029845,0
6,24,flyers,0.6703652085485381,437.5,535.0,285.9390523356675,630.2594632781612,ok,0.8701296745029845,0
7,3,flyers,0.5193614701371182,729.0,427.0,350.6449334808646,452.6390265735337,ok,0.8593207500901145,0
7,2,flyers,0.663798880742309,446.0,597.0,306.4630771228757,708.0350275056662,ok,0.8593207500901145,0
